2026-03-31 06:35:55,107 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:35:55,125 | INFO | app.database.session | Database tables initialized
2026-03-31 06:35:55,182 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:35:55,220 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:35:55,224 | INFO | app.database.session | Database tables initialized
2026-03-31 06:35:55,240 | INFO | app.database.session | Database tables initialized
2026-03-31 06:35:55,453 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:35:55,465 | INFO | app.database.session | Database tables initialized
2026-03-31 06:35:55,582 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:35:55,605 | INFO | app.database.session | Database tables initialized
2026-03-31 06:35:55,632 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:35:55,652 | INFO | app.database.session | Database tables initialized
2026-03-31 06:35:55,864 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:35:55,925 | INFO | app.database.session | Database tables initialized
2026-03-31 06:35:56,573 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:35:56,591 | INFO | app.database.session | Database tables initialized
2026-03-31 06:38:50,926 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:38:50,935 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:38:50,935 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:38:50,935 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:38:50,936 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:38:50,935 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:38:51,036 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:38:51,036 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:38:52,117 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:38:52,719 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:38:52,861 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:39:15,417 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:39:15,535 | INFO | app.database.session | Database tables initialized
2026-03-31 06:39:15,993 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:39:16,052 | INFO | app.database.session | Database tables initialized
2026-03-31 06:39:16,778 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:39:16,820 | INFO | app.database.session | Database tables initialized
2026-03-31 06:39:17,099 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:39:17,162 | INFO | app.database.session | Database tables initialized
2026-03-31 06:39:17,416 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:39:17,468 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:39:17,482 | INFO | app.database.session | Database tables initialized
2026-03-31 06:39:17,516 | INFO | app.database.session | Database tables initialized
2026-03-31 06:39:17,758 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:39:17,800 | INFO | app.database.session | Database tables initialized
2026-03-31 06:39:17,835 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:39:17,845 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:39:17,870 | INFO | app.database.session | Database tables initialized
2026-03-31 06:39:17,884 | INFO | app.database.session | Database tables initialized
2026-03-31 06:39:18,033 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:39:18,096 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:39:18,133 | INFO | app.database.session | Database tables initialized
2026-03-31 06:39:18,192 | INFO | app.database.session | Database tables initialized
2026-03-31 06:39:18,381 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:39:18,414 | INFO | app.database.session | Database tables initialized
2026-03-31 06:50:48,204 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:50:48,260 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:50:48,301 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:50:48,351 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:50:48,372 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:50:48,447 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:50:48,482 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:50:48,482 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:50:48,530 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:50:48,707 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:50:49,121 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:50:49,593 | INFO | app.main | 🛑 Application shutdown
2026-04-05 11:42:14,399 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-04-05 11:42:14,413 | INFO | app.database.session | Database tables initialized
2026-04-05 11:42:19,783 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-04-05 11:42:19,787 | INFO | app.database.session | Database tables initialized
2026-04-05 11:42:24,733 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-04-05 11:42:24,735 | INFO | app.database.session | Database tables initialized
2026-04-05 11:42:51,253 | INFO | app.main | 🛑 Application shutdown
2026-04-05 11:42:51,816 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-04-05 11:42:51,834 | INFO | app.database.session | Database tables initialized
2026-04-05 11:43:02,198 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-04-05 11:43:02,238 | INFO | app.database.session | Database tables initialized
2026-04-05 11:43:06,427 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-04-05 11:43:06,440 | INFO | app.database.session | Database tables initialized
2026-04-05 11:43:12,035 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-04-05 11:43:12,046 | INFO | app.database.session | Database tables initialized
2026-04-05 11:43:15,958 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-04-05 11:43:15,963 | INFO | app.database.session | Database tables initialized
2026-04-05 11:43:20,746 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-04-05 11:43:20,768 | INFO | app.database.session | Database tables initialized
2026-04-05 11:43:24,303 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-04-05 11:43:24,322 | INFO | app.database.session | Database tables initialized
2026-04-05 11:43:45,945 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-04-05 11:43:45,947 | INFO | app.database.session | Database tables initialized
2026-04-12 10:38:52,863 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-04-12 10:38:52,885 | INFO | app.database.session | Database tables initialized
2026-04-12 10:48:13,984 | WARNING | passlib.handlers.bcrypt | (trapped) error reading bcrypt version
Traceback (most recent call last):
  File "C:\Users\HP\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\passlib\handlers\bcrypt.py", line 620, in _load_backend_mixin
    version = _bcrypt.__about__.__version__
              ^^^^^^^^^^^^^^^^^
AttributeError: module 'bcrypt' has no attribute '__about__'
2026-04-12 10:48:14,116 | ERROR | app.main | Unhandled exception: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
Traceback (most recent call last):
  File "C:\Users\HP\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\starlette\middleware\errors.py", line 164, in __call__
    await self.app(scope, receive, _send)
  File "C:\Users\HP\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\starlette\middleware\cors.py", line 95, in __call__
